date,vwretd,vwretx
19781130,0.026771,0.0174
19781229,0.016627,0.014264
19790131,0.042697,0.040161
19790228,-0.028649,-0.036958
19790330,0.057361,0.054825
19790430,0.004183,0.002218
19790531,-0.016818,-0.026303
19790629,0.040324,0.037792
19790731,0.012051,0.009737
19790831,0.061865,0.053222
19790928,0.001416,-0.000872
19791031,-0.06556,-0.068517
19791130,0.052777,0.04357
19791231,0.01834,0.015892
19800131,0.061308,0.058935
19800229,0.002611,-0.005574
19800331,-0.097518,-0.100096
19800430,0.042394,0.039877
19800530,0.05556,0.046651
19800630,0.029722,0.026895
19800731,0.0682,0.06563
19800829,0.013454,0.00603
19800930,0.027935,0.025155
19801031,0.017809,0.014742
19801128,0.10991,0.103015
19801231,-0.030634,-0.033006
19810130,-0.04337,-0.045036
19810227,0.021267,0.013492
19810331,0.038285,0.035426
19810430,-0.020211,-0.021967
19810529,0.006539,-0.001124
19810630,-0.008255,-0.01118
19810731,0.000714,-0.000946
19810831,-0.05554,-0.063659
19810930,-0.050466,-0.0535
19811030,0.052115,0.048694
19811130,0.043827,0.035918
19811231,-0.027059,-0.029745
19820129,-0.015367,-0.016874
19820226,-0.050441,-0.059588
19820331,-0.006805,-0.010463
19820430,0.04155,0.040063
19820528,-0.029505,-0.039834
19820630,-0.015779,-0.018934
19820730,-0.020199,-0.022058
19820831,0.127402,0.116647
19820930,0.010496,0.007717
19821029,0.113863,0.111235
19821130,0.045754,0.037554
19821231,0.016835,0.014676
19830131,0.035293,0.033317
19830228,0.025733,0.018539
19830331,0.03547,0.032459
19830429,0.075719,0.074655
19830531,-0.005687,-0.0121
19830630,0.03697,0.033719
19830729,-0.031238,-0.032321
19830831,0.015864,0.009484
19830930,0.014105,0.010838
19831031,-0.013108,-0.014695
19831130,0.023846,0.017363
19831230,-0.005749,-0.008699
19840131,-0.003898,-0.005657
19840229,-0.034034,-0.039505
19840330,0.017295,0.013714
19840430,0.006781,0.005229
19840531,-0.053131,-0.059544
19840629,0.022937,0.018709
19840731,-0.013765,-0.015641
19840831,0.112438,0.105753
19840928,-0.000064,-0.003292
19841031,0.003331,0.000216
19841130,-0.009841,-0.01495
19841231,0.025556,0.021843
19850131,0.076868,0.074737
19850228,0.014166,0.008886
19850329,-0.000636,-0.00398
19850430,-0.003704,-0.005413
19850531,0.06274,0.056847
19850628,0.016065,0.012925
19850731,-0.003321,-0.005235
19850830,-0.006473,-0.011871
19850930,-0.033248,-0.036197
19851031,0.045079,0.042653
19851129,0.071887,0.06663
19851231,0.048156,0.045156
19860131,0.004706,0.002962
19860228,0.076525,0.071556
19860331,0.055832,0.05332
19860430,-0.013348,-0.015054
19860530,0.055326,0.050804
19860630,0.015744,0.01331
19860731,-0.057541,-0.059378
19860829,0.074417,0.070076
19860930,-0.083243,-0.085664
19861031,0.056538,0.053813
19861128,0.024876,0.019717
19861231,-0.027513,-0.030174
19870130,0.135183,0.133724
19870227,0.041778,0.037845
19870331,0.026336,0.023832
19870430,-0.009045,-0.011093
19870529,0.009128,0.005199
19870630,0.05014,0.047654
19870731,0.049843,0.047883
19870831,0.039108,0.035441
19870930,-0.02194,-0.024079
19871030,-0.215795,-0.217944
19871130,-0.081874,-0.086541
19871231,0.073922,0.071025
19880129,0.042712,0.041086
19880229,0.047445,0.040574
19880331,-0.030847,-0.033368
19880429,0.010516,0.008773
19880531,0.008012,0.002882
19880630,0.047676,0.045068
19880729,-0.004458,-0.007393
19880831,-0.032488,-0.03729
19880930,0.042739,0.040086
19881031,0.026891,0.023328
19881130,-0.014355,-0.01977
19881230,0.018553,0.015184
19890131,0.072303,0.069633
